property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Alojamiento entero,63.0,4.43,23.0,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0,0,1,0,1,0,1,0,2,0,0,0,0
Habitación,50.0,4.78,116.0,0.0,,1.0,0.5,2.0,900.0,660.0,9.0,1,1,1,0,8,5,0,2,2,0,1,0,1
Habitación,36.0,4.53,15.0,0.0,,1.0,0.5,1.0,840.0,660.0,10.0,0,2,2,0,2,1,0,0,1,0,1,0,0
Alojamiento entero,128.0,0.0,0.0,60.0,3.0,6.0,2.0,6.0,900.0,660.0,9.0,0,4,2,0,15,7,1,0,1,0,0,0,1
Habitación,24.0,4.25,112.0,0.0,,1.0,0.5,1.0,840.0,600.0,10.0,0,0,1,0,0,0,0,0,1,0,0,4,2
Alojamiento entero,111.0,4.8,573.0,50.0,2.0,3.0,2.0,5.0,900.0,660.0,9.0,2,7,2,0,15,10,2,2,2,7,0,2,4
Habitación,55.0,4.46,26.0,25.0,,1.0,1.0,3.0,900.0,660.0,9.0,0,4,2,2,7,3,0,1,2,0,1,0,1
Habitación,45.0,4.79,0.0,0.0,,1.0,0.5,1.0,660.0,660.0,13.0,0,1,0,3,1,4,1,0,1,0,1,0,1
Habitación,61.0,5.0,3.0,40.0,,1.0,0.5,2.0,660.0,660.0,13.0,0,6,2,0,14,8,2,2,2,0,3,0,0
Habitación,34.0,4.43,390.0,,,1.0,0.5,1.0,900.0,660.0,9.0,4,5,2,2,9,9,3,3,3,5,0,4,5
Habitación,48.0,0.0,2.0,0.0,,1.0,,2.0,,,,0,0,0,2,1,1,0,0,1,0,2,0,0
Habitación,82.0,4.69,160.0,0.0,1.0,2.0,1.0,2.0,,660.0,,0,1,1,0,0,1,1,0,1,0,0,2,2
Habitación,43.0,0.0,0.0,35.0,,3.0,0.5,4.0,900.0,660.0,9.0,0,0,0,0,1,0,0,0,1,0,1,0,0
Habitación,108.0,4.59,216.0,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,2,7,2,0,1,8,1,0,1,0,0,3,4
Alojamiento entero,146.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,840.0,720.0,10.0,0,0,0,0,1,1,1,0,2,0,0,2,0
Alojamiento entero,125.0,4.66,191.0,0.0,3.0,3.0,1.0,5.0,900.0,660.0,9.0,1,3,2,0,10,5,1,1,1,2,0,0,2
Alojamiento entero,169.0,4.83,311.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1,4,2,0,12,7,1,0,2,0,0,4,4
Alojamiento entero,99.0,4.61,496.0,65.0,2.0,3.0,1.0,4.0,960.0,720.0,8.0,1,6,2,3,13,10,3,0,1,1,0,3,1
Habitación,66.0,4.71,291.0,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,2,6,2,1,1,8,0,1,2,0,0,4,3
Habitación,101.0,4.49,1204.0,0.0,1.0,,1.0,2.0,900.0,660.0,9.0,1,4,2,1,0,7,2,1,2,0,0,4,3
Alojamiento entero,94.0,4.34,109.0,110.0,4.0,7.0,2.0,5.0,900.0,660.0,9.0,2,2,2,1,11,9,2,2,2,0,0,0,2
Habitación,51.0,0.0,0.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,0,2,0,1,3,0,0,1,0,3,0,0
Alojamiento entero,104.0,4.92,37.0,65.0,2.0,2.0,1.0,4.0,900.0,600.0,9.0,1,4,2,0,9,5,1,0,2,3,0,2,2
Alojamiento entero,106.0,0.0,2.0,60.0,3.0,3.0,2.0,4.0,960.0,660.0,8.0,2,3,2,0,10,6,1,1,2,2,0,0,1
Habitación,62.0,0.0,2.0,20.0,,1.0,0.5,1.0,780.0,,11.0,2,5,2,0,11,8,0,0,1,0,2,0,2
Alojamiento entero,100.0,4.63,8.0,60.0,3.0,3.0,2.0,5.0,900.0,660.0,9.0,1,6,3,0,13,7,1,0,1,0,0,0,0
Alojamiento entero,111.0,4.8,573.0,50.0,3.0,3.0,2.0,5.0,900.0,660.0,9.0,3,7,2,1,16,10,2,0,2,8,0,2,2
Alojamiento entero,107.0,0.0,0.0,50.0,1.0,2.0,1.0,3.0,900.0,660.0,9.0,1,2,2,0,6,2,0,0,1,0,0,0,1
Habitación,50.0,4.69,87.0,20.0,,,0.5,2.0,780.0,660.0,11.0,0,5,2,2,14,10,1,1,1,0,1,0,3
Alojamiento entero,87.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,900.0,660.0,9.0,0,2,0,1,5,4,0,0,1,0,0,0,2
Alojamiento entero,102.0,4.73,147.0,80.0,3.0,3.0,1.0,4.0,,720.0,,2,3,2,1,13,8,1,2,2,3,0,0,2
Habitación,35.0,4.31,154.0,30.0,,1.0,0.5,2.0,840.0,600.0,10.0,2,4,1,4,12,7,1,1,2,0,1,0,3
Habitación,40.0,4.83,6.0,0.0,,1.0,0.5,2.0,,,,0,0,1,0,0,0,0,0,1,0,1,0,0
Alojamiento entero,89.0,4.74,638.0,0.0,2.0,5.0,1.0,4.0,840.0,600.0,10.0,3,5,3,1,12,9,3,3,2,4,0,2,3
Alojamiento entero,76.0,4.61,470.0,50.0,2.0,2.0,1.0,3.0,840.0,600.0,10.0,1,3,4,1,12,8,3,1,1,0,0,0,2
Habitación,23.0,4.23,366.0,0.0,,,0.5,1.0,900.0,600.0,9.0,1,2,2,0,2,3,1,0,1,0,0,3,1
Habitación,76.0,4.73,491.0,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,1,5,2,0,0,8,0,1,2,0,0,4,3
Habitación,36.0,4.62,101.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,5,2,1,10,5,0,0,1,0,1,0,2
Habitación,42.0,0.0,0.0,0.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,0,0,0,1,1,0,0,1,0,3,0,0
Habitación,36.0,4.41,116.0,0.0,,1.0,0.5,1.0,960.0,780.0,8.0,0,7,2,0,8,4,0,0,1,0,1,0,1
Alojamiento entero,116.0,0.0,2.0,95.0,1.0,1.0,1.0,2.0,900.0,,9.0,0,5,2,0,12,6,1,1,1,0,0,0,0
Habitación,49.0,4.86,0.0,10.0,,1.0,0.5,1.0,900.0,660.0,9.0,0,1,1,0,1,1,1,2,1,0,1,0,1
Alojamiento entero,79.0,4.72,174.0,35.0,1.0,2.0,1.0,2.0,960.0,600.0,8.0,1,3,2,0,7,5,1,0,1,0,0,1,2
