prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
78.0,0.0,0.0,20.0,1.0,1.0,0.0,2.0,900.0,660.0,9.0,3.0,4.0,3.0,1.0,9.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
45.0,4.81,48.0,20.0,2.0,1.0,0.5,1.0,900.0,696.0,9.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
113.0,4.71,34.0,30.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0.0,4.0,2.0,1.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
150.0,4.75,0.0,130.0,4.0,4.0,2.0,8.0,900.0,660.0,9.0,3.0,5.0,2.0,3.0,14.0,8.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0
40.0,0.0,0.0,45.0,1.0,1.0,0.5,2.0,900.0,720.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
98.0,0.0,0.0,60.0,2.0,3.0,1.0,4.0,960.0,660.0,8.0,2.0,3.0,2.0,0.0,10.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
60.0,0.0,0.0,10.0,1.0,2.0,0.5,2.0,816.0,696.0,10.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0
115.0,4.8,0.0,50.0,1.0,1.0,1.0,4.0,900.0,600.0,9.0,0.0,3.0,1.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
80.0,5.0,5.0,90.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.0,6.0,3.0,4.0,12.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
31.0,4.46,46.0,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,1.0,3.0,2.0,1.0,9.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
105.0,4.87,0.0,60.0,2.0,3.0,1.0,4.0,840.0,660.0,10.0,1.0,2.0,2.0,3.0,9.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
50.0,4.76,74.0,0.0,1.0,1.0,2.0,2.0,900.0,792.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
37.0,4.33,24.0,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60.0,5.0,4.0,0.0,1.0,2.0,1.0,1.0,840.0,720.0,10.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
52.0,0.0,0.0,50.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
90.0,4.65,97.0,70.0,1.0,4.0,1.0,4.0,900.0,660.0,9.0,3.0,3.0,2.0,1.0,12.0,8.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
103.0,0.0,2.0,0.0,2.0,2.0,1.0,4.0,876.0,642.0,9.4,0.0,1.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
